,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
48,The Illustrated A-Z of Classic Mythology,Arthur Cotterell,Mythology/Legends,"January 7th, 2014",Lorenz Books,Hardcover,Not Sure?,256,4.20/5,Yes,$29.99,No,978-0-754-82898-3
49,Light It Up,Kekla Magoon,Young Adult Fiction,"October 22nd, 2019",Heny Holt and Co,Hardcover,N/A,358,,No,$18.99,No,978-1-250-12889-8
50,Black Buck,Mateo Askaripour,Satire/Darck Comedy,"January 5th, 2021",Mariner Books,Hardcover,N/A,388,,No,$26.00,No,978-0-358-38088-7
51,Not So Pure and Simple,Lamar Giles,Romance,"October 27th, 2020",Quill Tree Books,Paperback ,N/A,389,,No,$10.99,No,978-0-06-234920-0
52,Auggie & Me: Three Wonder Stories,R.J. Palacio,Fiction,"August 18th, 2015",Knopf Books for Young Readers,Hardcover,N/A,303,3.75/5,Yes,$16.99,No,978-1-101-93485-2
53,In The Antarctic Circle,Dennis James Sweeney,Poetry,"February 27th, 2021",Autumn House Press,Paperback ,N/A,82,,No,$16.95,No,978-1-938769-72-6
54,Pumpkin Heads,Rainbow Rowell,Graphic Novel,"August 27th, 2019",First Second,Hardcover,Faith Erin Hicks,224,,No,$24.99,No,978-1-250-31285-3
55,Love Radio,Ebony LaDelle,Romance,"May 31st, 2022",Simon & Schuster Books for Young Readers,Hardcover,N/A,316,4.8/5,Yes,$19.99,No,978-1-6659-0815-3
56,You Had Me At Hola,Alexis Daria,Romance,"August 4th, 2020",Avon Books,Paperback ,N/A,365,,No,$15.99,No,978-0-06-295992-8
57,Ties that Tether,Jane Igharo,Romance,"September 29th, 2020",Berkley,Paperback ,N/A,308,,No,$16.00,No,978-0-593-10194-0
58,The Love Hypothesis,Ali Hazelwood,Romance,"September 14th, 2021",Penguin Publishing Group,Paperback ,N/A,393,2.75/5,Yes,$16.00,No,978-0-593-33682-3
59,Lotería,Karla Arenas Valenti,Magical Realism,"September 7th, 2021",Knopf Books for Young Readers,Hardcover,Dana Sanmar,310,,No,$16.99,No,978-0-593-17696-2
60,Black American Refugee: Escaping the Narcissism of the American Dream,Tiffanie Drayton,Autobiography,"February 15th, 2022",Viking,Hardcover,N/A,292,,No,$26.00,No,978-0-593-29854-1
61,While We Were Dating,Jasmine Guillory,Contemporary Romance,"July 13th, 2021",Berkley,Paperback ,N/A,369,,No,$16.00,No,978-0-593-10085-1
62,Clap When You Land,Elizabeth Acevedo,Young Adult Fiction,"July 5th, 2022",Quill Tree Books,Paperback ,N/A,424,,No,$12.99,No,978-0-06-288277-6
63,No Filter and Other Lies,Crystal Maldonado,Young Adult Fiction,"February 8th, 2022",Holiday House,Hardcover,N/A,326,,No,$18.99,No,978-0-8234-4718-3
64,Circe,Madeline Miller,Fantasy,"April 14th, 2020",Back Bay Books,Paperback ,N/A,393,,No,$16.99,No,978-0-316-55632-3
65,The Sun And The Star,Rick Riordan,Fantasy/Adventure,"May 2nd, 2023",Disney-Hyperion,Hardcover,N/A,471,4.65/5,Yes,$19.99,Barnes & Noble Exclusive Edition,978-1-368-09887-8
66,Seven Faceless Saints,M.K. Lobb,Fantasy,"February 7th, 2023","Little, Brown Books for Young Readers",Hardcover,N/A,365,,No,$25.00,FairyLoot Book of The Month Edition,9781803363806
67,Goya: Latin American Delights ,Goya,CookBook,N/A,Goya,Paperback ,N/A,158,4.0/5,Yes,$0.00,No,N/A
68,Highly Suspicious and Unfairly Cute,Talia Hibbert,Young Adult Romance,"January 3rd, 2023",Joy Revolution,Paperback ,N/A,319,,No,$13.99,No,978-0-593-48235-3
69,With the Fire on High,Elizabeth Acevedo,Young Adult Fiction,"March 30th, 2021",Quill Tree Books,Paperback ,N/A,389,,No,$12.99,No,978-0-06-266284-2
70,A Lot Like Adiós,Alexis Daria,Romance,"September 14th, 2021",Avon Books,Paperback ,N/A,402,,No,$15.99,No,978-0-06-295996-6
