,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
273,My Hero Academia Vol. 4,Kohei Horikoshi,Shonen,"May 3rd, 2016",Viz Media LLC,Paperback,Kohei Horikoshi,189,3.75/5,Yes,$9.99,No,978-1-4215-8511-6
274,My Hero Academia Vol. 5,Kohei Horikoshi,Shonen,"August 2nd, 2016 ",Viz Media LLC,Paperback,Kohei Horikoshi,189,5.0/5,Yes,$9.99,No,978-1-4215-8702-8
275,My Hero Academia Vol. 6,Kohei Horikoshi,Shonen,"November 1st, 2016",Viz Media LLC,Paperback,Kohei Horikoshi,189,4.75/5,Yes,$9.99,No,978-1-4215-8866-7
276,My Hero Academia Vol. 7,Kohei Horikoshi,Shonen,"February 7th, 2017",Viz Media LLC,Paperback,Kohei Horikoshi,191,4.5/5,Yes,$9.99,No,978-1-4215-9040-0
277,My Hero Academia Vol. 8,Kohei Horikoshi,Shonen,"May 2nd, 2017 ",Viz Media LLC,Paperback,Kohei Horikoshi,187,3.75/5,Yes,$9.99,No,978-1-4215
278,My Hero Academia Vol. 9,Kohei Horikoshi,Shonen,"August 1st, 2017",Viz Media LLC,Paperback,Kohei Horikoshi,191,4.5/5,Yes,$9.99,No,978-1-4215-9340-1
279,My Hero Academia Vol. 10,Kohei Horikoshi,Shonen,"November 7th, 2017",Viz Media LLC,Paperback,Kohei Horikoshi,191,4.25/5,Yes,$9.99,No,978-1-4215-9437-8
280,Grimm: Below The Surface : The Insider's Guide To The Show,Titan Books,Companion Book,"March 11th, 2014",Titan Books,Paperback,N/A,176,,No,$16.99,No,9781782760450
281,Grimm: Omnibus Vol. 1,Marc Gaffen & Kyle McVey & David Greenwalt & Jim Kouf & Jai Nitz ,Fantasy Comics,"October 18th, 2016",Dynamite Entertainment,Paperback,Jose Malaga & Rod Rodolfo & Daniel Govar,496,,No,$39.99,No,978-1-5241-0076-6
282,Anatomy For The Artist: A Complete Guide To Drawing The Human Body,Jennifer Crouch,Art Book,"June 15th, 2022",Sirius,Paperback,Jennifer Crouch,255,3.5/5,Yes,$19.99,No,978-1-3988-9032-9
283,Encyclopedia of Space,Miles Kelly,Encyclopedia,"November 17th, 2017",Miles Kelly,Hardcover,N/A,512,,No,$15.00,No,978-1-78617-377-5
284,Watchmen Deluxe Edition,Alan Moore,Superhero,"June 4th, 2013",DC Comics,Hardcover,Alan Moore,414,,No,$39.99,No,978-1-4012-3896-4 
285,The Hubble Cosmos: 25 Years of New Vistas in Space,David H. Devorkin & Robert W. Smith,Space/Educational,"October 6th, 2015",National Geographic,Hardcover,N/A,224,,No,$50.00,No,978-1-4262-1557-5
286,"Marvel Encyclopedia: New Edition, With an Introduction by Stan Lee",Stephen Wiacek & DK & Stan Lee & Adam Bray,Encyclopedia,"April 2nd, 2019",DK,Hardcover,N/A,447,,No,$40.00,No,978-1-4654-7890-0
287,Savvy,Ingrid Law,Children's Fiction,"March 23rd, 2010",Puffin Books,Paperback,N/A,362,,Need To Reread,$8.99,No,978-0-14-241433-0
288,Savvy,Ingrid Law,Children's Fiction,"March 23rd, 2010",Puffin Books,Paperback,N/A,362,,Need To Reread,$8.99,No,978-0-14-241433-0
289,Scumble,Ingrid Law,Children's Fiction,"August 9th, 2011",Puffin Books,Paperback,N/A,400,,Need To Reread,$7.99,No,978-0-14-241962-5
290,Switch,Ingrid Law,Children's Fiction,"September 6th, 2016",Puffin Books,Paperback,N/A,356,,No,$8.99,No,978-0-14-242570-1
291,Tristan Strong Punches A Hole In The Sky,Kwame Mbalia,Fantasy/Adventure,"October 15th, 2019",Rick Riordan Presents,Hardcover,N/A,482,,No,$17.99,No,978-136803993-2
292,Tristan Strong Destroys The World,Kwame Mbalia,Fantasy/Adventure,"October 6th, 2020",Rick Riordan Presents,Hardcover,N/A,390,,No,$17.99,No,978-136804238-3
293,Tristan Strong Keeps Punching,Kwame Mbalia,Fantasy/Adventure,"October 5th, 2021",Rick Riordan Presents,Hardcover,N/A,404,,No,$17.99,No,978-136805487-4
294,Aru Shah And The End Of Time,Roshani Chokshi,Fantasy/Adventure,"March 27th, 2018",Rick Riordan Presents,Hardcover,N/A,343,,No,$16.99,No,978-136801235-5
295,Aru Shah And The Song Of Death,Roshani Chokshi,Fantasy/Adventure,"April 30th, 2019",Rick Riordan Presents,Hardcover,N/A,365,,No,$16.99,No,978-136801384-0
296,Aru Shah And The Tree Of Wishes,Roshani Chokshi,Fantasy/Adventure,"April 7th, 2020",Rick Riordan Presents,Hardcover,N/A,374,,No,$16.99,No,978-136801385-7
297,All Our Hidden Gifts,Caroline O'Donoghue,Fantasy ,"June 8th, 2021",Walker Books US,Paperback,N/A,374,,No,$9.99,No,978-1-5362-2526-6
298,Complete Spanish Grammar: Premium Fourth Edition: Total Language Study Program,Gilda Nissenberg,Language Learning,"July 1st, 2020",McGraw Hill,Paperback,N/A,400,,No,$18.00,No,978-1-260-46315-6
299,Spanish Conversation: Premium Third Edition: Comprehensive Study Program,Jean Yates,Language Learning,"May 13th, 2020",McGraw Hill,Paperback,N/A,204,,No,$17.00,No,978-1-260-46219-7
300,Lee Hammond's big book of DRAWING,Lee Hammond,Art Book,"February 27th, 2004",North Light Books,Paperback,N/A,240,,No,$23.99,No,978-1-58180-473-7
301,The Rebounder,Thomas J. Dygard,Fiction,"October 18th, 1994",HarperCollins,Hardcover,N/A,180,,No,$15.00,No,978-0688128210
302,Let Me Hear a Rhyme,Tiffany D. Jackson,Young Adult Fiction,"May 19th, 2020",Katherine Tegen Books,Paperback,N/A,380,,No,$10.99,No,978-0-06-284033-2
303,The Old Man and the Sea,Ernest Hemingway,Novella,"May 5th, 1995",Simon & Schuster New York,Paperback,N/A,127,,No,$9.00,No,0-684-80122-1
304,Duh! The Stupid History of the Human Race,Bob Fenster,Comedy,"January 1st, 2003",Andrews McMeel Publishing,Hardcover,N/A,276,,No,$23.00,No,978-0760750520
305,A Wrinkle in Time,Madeleine L'Engle,Young Adult/Science Fantasy,"May 1st, 2007",Square Fish,Paperback,N/A,245,,No,$6.99,No,978-0-312-36754-1
306,Aesop's Fables ,V.S. Vernon James,Fables,"October 24th, 2013",Word Cloud Classics,Leather,Arthur Rackham,239,,No,$14.95,No,978-1-60710-947-1
307,Minecraft: Redstone Handbook,Scholastic,Video Game Guide,"March 25th, 2014",Scholastic,Paperback,N/A,79,,No,$5.99,No,978-0-545-68575-7
308,Wayside School Gets a Little Stranger,Louis Sachar,Fiction,"December 31st, 2004",Scholastic,Paperback,Adam McCauley,168,,No,$5.99,No,978-0-545-31540-1
309,Urban Outlaws,Peter Jay Black,Thriller,"April 29th, 2014",Bloomsbury Childrens,Paperback,N/A,274,,No,$5.99,No,978-1-338-03725-8
310,The Captivity of the Oatman Girls among the Apache and Mohave Indians,Lorenzo D. Oatman & Olive A. Oatman,Biography,"June 22nd, 1994",Dover Publications,Paperback,N/A,209,,No,$6.95,No,0-486-28078-0
311,My Life as a Gamer,Janet Tashjian,Fiction,"April 3rd, 2018",Scholastic ,Paperback,Jake Tashjian,250,,No,$6.99,No,978-1-338-03745-6
312,I Wish I Knew That U.S. Presidents: Cool Stuff You Need To Know,Patricia A. Halbert,Biography,"February 2nd, 2012",Reader's Digest Juvenile,Hardcover,N/A,143,,No,$9.99,No,"978-1606523605"
313,Public School Superhero ,James Patterson & Chris Tebbetts,Fiction,"May 3rd, 2016",Scholastic,Paperback,Cory Thomas,283,,No,$5.99,No,978-0-545-91868-8
314,Minecraft: Construction Handbook,Scholastic,Video Game Guide,"August 26th, 2014",Scholastic ,Paperback,N/A,79,,No,$5.99,No,978-0-545-77610-3
315,"TodHunter Moon, Book Two: SandRider",Angie Sage,Fantasy,"October 13th, 2015",Katherine Tegen Books,Hardcover,N/A,461,,No,$17.99,No,978-0-06-227248-5
316,"TodHunter Moon, Book One: PathFinder",Angie Sage,Fantasy ,"October 14th, 2014",Katherine Tegen Books,Hardcover,N/A,460,,No,$17.99,No,978-0-06-227245-4
317,Daniel X: Demons and Druids,James Patterson,Young Adult Fantasy ,"July 1st, 2010",jimmy patterson,Hardcover,N/A,237,,No,$16.99,No,978-0-316-03698-6
318,Eragon,Christopher Paolini,Young Adult Fantasy,"January 1st, 2005",Knopf Books For Young Readers,Paperback,N/A,503,,No,$11.99,No,978-0-375-82669-6
319,Leven Thumps and the Gaeway to Foo,Obert Skye,Fiction,"July 1st, 2006",Aladdin,Paperback,N/A,368,,No,$8.99,No,978-1-4169-2806-5
320,I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,Young Adult Fiction,"March 5th, 2019",Ember,Paperback,N/A,362,,No,$11.99,No,978-1-5247-0051-5
321,A Tale of Two Cities,Charles Dickens,Historical Novel,"N/A, N/A, 1998",Prentice Hall,Hardcover,N/A,360,1.5/5,Yes,$15.00,No,0-13-435509-1
322,Bulfinch's Mythology,Thomas Bulfinch,Mythology/Legends,"October 1st, 2014 ",Canterbury Classics,Leatherbound,N/A,686,,No,$24.99,No,978-1-62686-169-5
323,Spy High: Mission Five - Blood Relations,A.J. Butcher,Science Fiction,"April 6th, 2005","Little, Brown Young Readers",Paperback,N/A,218,,No,$6.99,No,0-316-78092-8
324,Isaac Asimov's Robots in Time: Dictator,William F. Wu,Science Fiction,"January 1st, 1994",Avon Books,Paperback,N/A,230,,No,$4.99,No,0-380-76514-4
325,Naruto Vol. 52,Masashi Kishimoto,Shonen,"September 5th, 2011",Viz Media LLC,Paperback,Masashi Kishimoto,207,3.75/5,Yes,$9.99,No,978-1-4215-3957-7
326,The Name of This Book is Secret,Psedonymous Bosch,Mystery,"September 1st, 2008","Little, Brown Books for Young Readers",Paperback,N/A,360,,No,$6.99,No,978-0-316-11369-4
327,Fantastic Voyage II: Destination Brian ,Issac Asimov,Science Fiction,"August 18th, 1987",Doubleday,Hardcover,N/A,332,,No,$9.99,No,978-0385239264
328,The Secrets of Mental Math,Arthur T. Benjamin,Math,"January 1st, 2011",The Great Courses,Paperback,N/A,161,,No,$5.99,No,978-1598039726
329,Classical Mythology ,H. A. Guerber,Mythology/Legends,"January 1st, 2016",Fall River Press,Hardcover,N/A,451,,No,$7.99,No,978-1-4351-6288-4
330,One Piece Vol. 6,Eiichiro Oda,Shonen,"March 1st, 2005",Viz Media LLC,Paperback,Eiichiro Oda,185,3.5/5,Yes,$7.95,Not Really (The Foil Old Ones) ,1-59116-723-x
331,Naruto Vol. 51,Masashi Kishimoto,Shonen,"June 7th, 2011",Viz Media LLC,Paperback,Masashi Kishimoto,189,3.25/5,Yes,$9.99,No,978-1-4215-3498-5
332,Naruto Vol. 55,Masashi Kishimoto,Shonen,"March 6th, 2012",Viz Media LLC,Paperback,Masashi Kishimoto,193,3.0/5,Yes,$9.99,No,978-1-4215-4152-5
333,Drawing: A Complete Guide,Giovanni Civardi,Art Book,"March 10th, 2010",Search Press,Paperback,Giovanni Civardi,440,,No,$19.95,No,978-1-844488-508-6
334,The Black Kids,Christina Hammonds Reds,Young Adult Fiction,"April 5th, 2022",Simon & Schuster New York,Hardcover,N/A,362,,No,$18.99,No,978-1-5344-6272-4
335,"Yinka, Where Is Your Huzband? ",Lizzie Damilola Blackburn,Romance ,"January 18th, 2022",Pamela Dorman Books,Hardcover,N/A,373,4.8/5,Yes,$26.00,No,978-0-593-29900-5
336,First Comes Like,Alisha Rai,Romance ,"February 16th, 2021",Avon Books,Paperback,N/A,414,,No,$15.99,No,978-0-06-287815-1
337,Big Nate Strikes Again,Lincoln Peirce,Comedy,"October 19th, 2010",HarperCollins,Hardcover,Lincoln Peirce,217,,No,$12.99,No,978-0-06-194436-9
338,Nerd Camp,Elissa Brent Weissman,Fiction,"May 22nd, 2012",Atheneum Books for Young Readers,Hardcover,N/A,261,,No,$15.99,No,978-1-4424-1703-8
339,Genesis: A Living Conversation ,Bill Moyers,Mythology/Legends,"September 1st, 1996",Doubleday,Hardcover,N/A,354,,No,$29.95,No,0-385-48345-7
340,Official Fortnite How to Draw ,Epic Games,Art Book,"July 23rd, 2019","Little, Brown Books for Young Readers",Paperback,Epic Games,111,3.35/5,Yes,$8.99,No,978-0-316-42516-2
341,Cambridge Atlas of Astronomy ,Jean Audouze & Guy Israël,Atlas,"April 26th, 1985",Cambridge University Press,Hardcover,N/A,420,,No,$34.95,No,0-521-26369-7
342,The Communist Manifesto,Karl Marx & Friedrich Engels,Philosophy,"March 1st, 2011",Penguin Classics,Paperback,N/A,104,,No,$15.00,Penguin Classics Deluxe Edition,978-0-14-310-626-5
343,SAS Ultimate Guide to Combat: How to Fight and Survive in Modern Warfare,Robert Stirling,History,"January 1st, 2012",Osprey Publishing,Paperback,N/A,343,,No,$18.00,No,978-1-4351-4476-7
344,"Middle School, The Worst Years of My Life",James Patterson & Chris Tebbetts,Comedy,"May 6th, 2014",jimmy patterson,Hardcover,Laura Park ,281,,Need To Reread,$15.99,No,978-0-316-10187-5
345,Miracle Wimp,Erik P. Kraft,Young Adult Fiction,"August 1st, 2007 ","Little, Brown Books for Young Readers",Hardcover,Erik P. Kraft,245,,No,$16.99,No,978-0-316-01165-5
346,Manga Art: How to Create Your Own Artwork,Ben Krefta,Art Book,"September 15th, 2018",Arcturus,Paperback,Ben Krefta,256,,No,$24.99,No,978-1-3988-9019-0
347,I Funny TV: A Middle School Story,James Patterson & Chris Tebbetts,Comedy,"December 14th, 2015",jimmy patterson,Hardcover,Laura Park ,311,,Need To Reread,$13.99,No,978-0-316-30109-1
348,"Fat Chance, Charlie Vega",Crystal Maldonado ,Young Adult Fiction,"January 11th, 2022",Holiday House,Paperback,N/A,343,4.45/5,Yes,$12.99,No,978-0-8234-5131-9
349,Presumed Innocent,Scott Turow,Thriller,"December 31st, 1986",Warner Books,Paperback,N/A,421,,No,$5.95,No,0-446-35986-6
350,Women Race & Class,Angela Y. Davis,History,"February 12th, 1983",Vintage Book,Paperback,N/A,271,,No,$16.95,No,978-0-394-71351-9
351,The Only Black Girls In Town,Brandy Colbert,Fiction,"April 20th, 2021","Little, Brown Books for Young Readers",Paperback,N/A,355,,No,$7.99,No,978-0-316-45640-1
352,"Incans, Aztecs & Mayans",John Holzmann,History,"January 1st, 1996",Sonlight Curriculum Ltd,Paperback,N/A,135,,No,$4.99,No,978-1887840446
353,Easy as Pi: The Countless Ways We Use Numbers Every Day,Jamie Buchan ,Reference,"April 15th, 2020",Reader's Digest ,Hardcover,N/A,174,,No,$14.95,No,978-1-60652-134-2
354,Tomie,Junji Ito,Horror,"December 20th, 2016",Viz Media LLC,Hardcover,Junji Ito,742,,No,$34.99,No,978-1-4214-9056-1
355,The Upside of Unrequited,Becky Albertalli,Romance ,"January 30th, 2018",Balzer + Bray,Paperback,N/A,340,3.75/5,Yes,$10.99,No,978-0-06-234871-5
356,Gravity Falls: Journal 3,Alex Hirsch ,Fantasy/Paranormal,"July 26th, 2016",Disney Press,Hardcover,Stephanie Ramirez & Andy Gonsalves,288,,No,$19.99,No,978-148474669-1
357,Daniel X: Watch The Skies,James Patterson & Ned Rust,Young Adult Fantasy,"July 27th, 2009",jimmy patterson,Hardcover,N/A,251,,No,$19.99,No,978-0-316-03618-4
358,Daniel X: Lights Out,James Patterson & Chris Grabenstein,Young Adult Fantasy ,"July 13th, 2015",jimmy patterson,Hardcover,N/A,263,,No,$17.99,No,978-0-316-20745-4
359,Every Body Looking,Candice Iloh,Young Adult,"September 21st, 2021",Dutton Books for Young Readers,Paperback,N/A,403,,No,$11.99,No,978-0-525-55622-0
360,The Conspiracy Files,Leo Moynihan,Conspiracy Theory ,"November 1st, 2021 ",New Burlington Books,Paperback,N/A,192,,No,$18.99,No,978-1-80242-015-9
361,Physics For Dummies,Steve Holzner,Textbook,"November 28th, 2004",For Dummies,Paperback,N/A,368,,No,$19.99,No,0-7645-5433-6
362,The 21 Irrefutable Laws of Leadership Workbook,John C. Maxwell,Self-Help Book,"September 18th, 2007",Thomas Nelson,Paperback,N/A,246,,No,$19.99,No,978-1-4185-2615-3
363,The Teen Study Bible,Moses wrote the most of 1 person,Religious Text,"January 1st, 1993",Zondervan Publishing House,Hardcover,N/A,1711,4.75/5,Yes,$24.99,No,0-310-91672-0
364,The Zodiac Legacy #1: Convergence,Stan Lee & Stuart Moore,Adventure Fiction,"January 1st, 2015",Scholastic,Paperback,Andie Tong Lee,463,,No,$7.99,No,978-0-545-91675-2
365,The Right Side Of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,Christian Literature,"March 19th, 2019",Broadside Books,Hardcover,N/A,256,,No,$27.99,No,978-0-06-285790-3
366,Ace of Spades, Faridah Àbíké-Íyímídé ,Young Adult Thriller,"June 1st, 2021",Feiwel & Friends,Hardcover,N/A,422,,No,$18.99,No,978-1-250-80081-7
367,This Is My America,Kim Johnson,Young Adult Fiction,"July 28th, 2020",Random House Books for Young Readers,Hardcover,N/A,406,,No,$17.99,No,978-0-593-11876-4
368,"Egyptian Mythology: A Guide to the GODS, GODDESSES, and TRADITIONS of ANCIENT EGYPT",Geraldine Pinch,Mythology/Legends,"April 8th, 2004",Oxford University Press,Paperback,N/A,257,,No,$19.95,No,978-0-19-517024-5
369,Big Nate What Could Possibly Go Wrong?,Lincoln Peirce,Comedy,"May 1st, 2012",HarperCollins,Paperback,Lincoln Peirce,217,,No,$9.99,No,978-0-06-208694-5
370,The Ivory Keys,Akshaya Raman,Young Adult Fantasy,"January 4th, 2012",Clarion Books,Hardcover,N/A,375,,No,$18.99,No,978-0358-46833-2
371,The Mythology Books - Big Ideas Simply Explained,DK,Mythology/Legends,"May 15th, 2018",DK,Hardcover,N/A,351,,No,$25.00,No,978-1-4654-7337-0
372,Harlem Shuffle,Colson Whitehead,Crime Fictions,"September 14th, 2021",Doubleday,Hardcover,N/A,318,,No,$28.95,No,978-0-385-54513-6
373,The 39 Clues: Cahills vs. Vespers Book One: The Medusa Plot,Gordon Korman,Young Adult Adventure,"August 30th, 2011",Scholastic Inc.,Hardcover,N/A,222,,Need To Reread,$12.99,NEEDS THE 6 CARDS ,978-0-545-29839-1
374,The 39 Clues: Cahills vs. Vespers Book Two: A King's Ransom,Jude Watson,Young Adult Adventure,"December 6th, 2011",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-29840-7
375,The 39 Clues: Cahills vs. Vespers Book Three: The Dead of Night,Peter Lerangis,Young Adult Adventure,"March 6th, 2012",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-29841-4
376,The 39 Clues: Cahills vs. Vespers Book Four: Shatterproof,Roland Smith,Young Adult Adventure,"September 4th, 2012",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-29842-1
377,The 39 Clues: Cahills vs. Vespers Book Five: Trust No One,Linda Sue Park ,Young Adult Adventure,"December 4th, 2012",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-29843-8
378,The 39 Clues: Cahills vs. Vespers Book Six: Day of Doom,David Baldacci,Young Adult Adventure,"March 5th, 2013",Scholastic Inc.,Hardcover,N/A,270,,Need To Reread,$12.99,No,978-0-545-29844-5
379,The 39 Clues: Book Three: The Sword Thief,Peter Lerangis,Young Adult Adventure,"March 3rd, 2009",Scholastic Inc.,Hardcover,N/A,156,,Need To Reread,$13.99,No,978-0-545-06043-1
380,The 39 Clues: Book Four: Beyond The Grave,Jude Watson,Young Adult Adventure,"June 2nd, 2009",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-06044-8
381,The 39 Clues: Book Five: The Black Circle,Patrick Carman,Young Adult Adventure,"August 11th, 2009",Scholastic Inc.,Hardcover,N/A,168,,Need To Reread,$13.99,No,978-0-545-06045-5
382,The 39 Clues: Book Six: In Too Deep,Jude Watson,Young Adult Adventure,"November 3rd, 2009",Scholastic Inc.,Hardcover,N/A,206,,Need To Reread,$13.99,No,978-0-545-06046-2
383,The 39 Clues: Book Seven: The Viper's Nest,Peter Lerangis,Young Adult Adventure,"February 2nd, 2010",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$13.99,No,978-0-545-06047-9
384,The 39 Clues: Book Eight: The Emperor's Code,Gordon Korman,Young Adult Adventure,"April 6th, 2010",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$13.99,No,978-0-545-06048-6
385,The 39 Clues: Book Nine: Storm Warning,Linda Sue Park,Young Adult Adventure,"May 25th, 2010",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$13.99,No,978-0-545-06049-3
386,The 39 Clues: Book Ten: Into The Gauntlet,Margaret Peterson Haddix,Young Adult Adventure,"August 31st, 2010",Scholastic Inc.,Hardcover,N/A,327,,Need To Reread,$12.99,No,978-0-545-06050-9
387,The 39 Clues: Book Eleven: Vespers Rising,Rick Riordan & Peter Lerangis & Gordon Korman & Jude Watson,Young Adult Adventure,"April 5th, 2011",Scholastic Inc.,Hardcover,N/A,238,,Need To Reread,$12.99,No,978-0-545-29059-3
388,The 39 Clues: Unstoppable Book One: Nowhere To Run,Jude Watson,Young Adult Adventure,"October 1st, 2013",Scholastic Inc.,Hardcover,N/A,266,,Need To Reread,$12.99,No,978-0-545-52137-6
389,The 39 Clues: Unstoppable Book Two: Breakaway,Jeff Hirsch,Young Adult Adventure,"January 28th, 2014",Scholastic Inc.,Hardcover,N/A,189,,Need To Reread,$12.99,No,978-0-545-52142-0
390,The 39 Clues: Unstoppable Book Three: Countdown,Natalie Standiford,Young Adult Adventure,"April 29th, 2014",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-52145-1
391,The 39 Clues: Unstoppable Book Four: Flashpoint,Gordon Korman,Young Adult Adventure,"August 26th, 2014",Scholastic Inc.,Hardcover,N/A,222,,Need To Reread,$12.99,No,978-0-545-52147-5
392,The 39 Clues: Doublecross Book One: Mission Titanic,Jude Watson,Young Adult Adventure,"February 24th, 2015",Scholastic Inc.,Hardcover,N/A,237,,Need To Reread,$12.99,No,978-9-351-03696-8
393,The 39 Clues: Doublecross Book Two: Mission Hindenburg,C. Alexander London,Young Adult Adventure,"July 28th, 2015",Scholastic Inc.,Hardcover,N/A,190,,Need To Reread,$12.99,No,978-0-545-76743-9
394,The 39 Clues: Doublecross Book Three: Mission Hurricane,Jenny Goebel,Young Adult Adventure,"January 26th, 2016",Scholastic Inc.,Hardcover,N/A,189,,Need To Reread,$12.99,No,978-0-545-76748-4
395,The 39 Clues: Doublecross Book Four: Mission Atomic,Sarwat Chadda,Young Adult Adventure,"June 28th, 2016",Scholastic Inc.,Hardcover,N/A,253,,Need To Reread,$12.99,No,978-0-545-76751-4
396,The 39 Clues: The Black Book of Buried Secrets,Rick Riordan,Young Adult Adventure,"October 26th, 2010",Scholastic Inc.,Hardcover,N/A,187,,Need To Reread,$12.99,No,978-0-545-28504-9
397,The 39 Clues: Agent Handbook,Misc. ,Young Adult Adventure,"January 1st, 2010",Scholastic Inc.,Hardcover,N/A,224,,No,$9.95,No,978-1-4351-2581-4
398,The 39 Clues: Superspecial Book One: Outbreak,C. Alexander London,Young Adult Adventure,"October 1st, 2016",Scholastic Inc.,Hardcover,N/A,260,,No,$13.99,No,978-1-338-03705-0
399,The 39 Clues: The Cahill Files Book One: Operation Trinity,Clifford Riley,Young Adult Adventure,"May 8th, 2012",Scholastic Inc.,Hardcover,N/A,142,,No,$9.99,No,978-0-545-43143-9
400,The 39 Clues: The Cahill Files Book Two: Spymasters,Clifford Riley,Young Adult Adventure,"April 30th, 2013",Scholastic Inc.,Hardcover,N/A,250,,No,$12.99,No,978-0-545-56468-7
401,Invincible: Compendium One ,Robert Kirkman,Superhero,"August 30th, 2011",Image Comics,Graphic Novel,Cory Walker & Ryan Ottley,1024,,No,$64.99,No,978-1-60706-411-4
402,Ms. Marvel Vol. 4 - Last Days ,G. Willow Wilson & Dan Slott,Superhero,"November 17th, 2015",Marvel Universe,Graphic Novel,Adrian Alphona & Giuseppe Camuncoli,120,,No,$17.99,No,978-0-7851-9736-2
403,Ms. Marvel Vol. 5 - Super Famous,G. Willow Wilson,Superhero,"June 28th, 2016",Marvel Universe,Graphic Novel,Takeshi Miyazawa & Nico Leon & Adrian Alphona & Cliff Chiang,144,,No,$17.99,No,978-0-7851-9611-2
404,Miles Morales: The Ultimate Spider-Man - Ultimate Collection Book 1,Brian Michael Bendis,Superhero,"July 28th, 2015",Ultimate Universe,Graphic Novel,Sara Pichelli & Chris Samnee & David Marquez,400,,No,$34.99,No,978-0-7851-9778-2
405,Miles Morales: The Ultimate Spider-Man - Ultimate Collection Book 2,Brian Michael Bendis,Superhero,"September 29th, 2015",Ultimate Universe,Graphic Novel,Sara Pichelli & Pepe Larraz & David Marquez,384,,No,$34.99,No,978-0-7851-9779-9
406,Miles Morales: The Ultimate Spider-Man - Ultimate Collection Book 3,Brian Michael Bendis,Superhero,"November 24th, 2015 ",Ultimate Universe,Graphic Novel,David Marquez & Sara Pichelli & Mark Bagley & Mark Brooks & David Lafuente & Andrew Hennessy,368,,No,$34.99,No,978-0-7851-9780-5
407,Frizzy ,Claribel A. Ortega,Graphic Novel,"October 18th, 2022",First Second,Graphic Novel,Rose Bousamra,213,,No,$12.99,No,978-1-250-25963-9
408,"Imogen, Obviously",Becky Albertalli,Young Adult Fiction,"May 2nd, 2023",Balzer + Bray,Hardcover,N/A,416,,No,$19.99,No,978-0-06-304587-3
409,Percy Jackson Y Los Dioses Del Olimpo: El Ladrón Del Rayo,Rick Riordan,Fantasy/Adventure,"December 4th, 2014",Salamandra,Paperback,N/A,285,4.0/5,Yes,$12.95,No,978-8-49838-626-4
410,Daredevil: Born Again,Frank Miller,Superhero,"January 5th, 2010",Marvel Universe,Graphic Novel,David Mazzucchelli,248,,No,$19.99,No,978-0-7851-3481-7
411,Black Panther: The Man Without Fear - The Complete Collection,David Liss,Superhero,"December 26th, 2017",Marvel Universe,Graphic Novel,Francesco Francavilla & Shawn Martinbrough & Jefte Palo & Michael Avon Oeming ,416,,No,$34.99,No,978-1-302-90772-3
412,Ms. Marvel: The New Mutant,Iman Vellani & Sabir Pirzada,Superhero,"August 30th, 2023",Marvel  ,Comic Book,Sara Pichelli & Carlos Gomez & Adam Gorham ,35,,No,$4.99,No,N/A
413,Black Panther: The Saga of Shuri and T'Challa,Reginald Hudlin & Marvel Various,Superhero,"August 16th, 2022",Marvel Universe,Graphic Novel,Marvel Various,424,,No,$39.99,No,978-1-302-94600-5
414,Ms. Marvel Vol. 6 - Civil War II ,G. Willow Wilson,Superhero,"December 13th, 2016",Marvel Universe,Graphic Novel,Adrian Alphona & Takeshi Miyazawa & Mirka Andolfo,136,,No,$17.99,No,978-0-7851-9612-9
415,Ms. Marvel Vol. 7 - Damage Per Second,G. Willow Wilson,Superhero,"July 18th, 2017",Marvel Universe,Graphic Novel,& Takeshi Miyazawa & Mirka Andolfo & Francesco Gaston & Ian Herring,136,,No,$17.99,No,978-1-302-90305-3
416,Ms. Marvel Vol. 8 - Mecca,G. Willow Wilson,Superhero,"December 12th, 2017",Marvel Universe,Graphic Novel,Marco Failla & Diego Olortegui & Ian Herring,136,,No,$17.99,No,978-1-302-90608-5
417,Ms. Marvel Vol. 9 - Teenage Wasteland,G. Willow Wilson,Superhero,"July 17th, 2018",Marvel Universe,Graphic Novel,Nico Leon & Ian Herring,136,,No,$17.99,No,978-1-302-91078-5
418,Ms. Marvel Vol. 10 - Time And Again,G. Willow Wilson & Saladin Ahmed & Rainbow Rowell & Hasan Minhaj,Superhero,"March 26th, 2019",Marvel Universe,Graphic Novel,Nico Leon & Gustavo Duarte & Bob Quinn & Elmo Bondox & Ian Herring,184,,No,$19.99,No,978-1-302-91269-7
